"","token","count","frequency","general_frequency","relative_frequency"
"20521","snapes",37,0.000200978821177736,1.54452145715998e-05,13.0123683452925
"19347","sacheverell",162,0.000879961325156573,6.92947464563669e-05,12.6988173008276
"1823","bangors",57,0.00030961602181435,2.62986085948862e-05,11.7730951695503
"19349","sacheverells",45,0.000244433701432381,2.21242262782376e-05,11.0482372743049
"22216","tory",54,0.000293320441718858,3.005555267987e-05,9.75927625896936
"1820","bangor",117,0.000635527623724192,6.97121846880317e-05,9.11644967903725
"15303","nonjurors",33,0.000179251381050413,2.04544733515782e-05,8.763431742748
"20520","snape",38,0.000206410681209567,2.37939792048971e-05,8.67491223019499
"10578","highchurch",37,0.000200978821177736,2.37939792048971e-05,8.44662506624249
"11148","impeachment",117,0.000635527623724192,7.55563199313398e-05,8.41130992485757
"6646","dividend",35,0.000190115101114075,2.37939792048971e-05,7.99005073833749
"9002","freethinking",30,0.000162955800954921,2.12893498149079e-05,7.65433432076028
"19647","schism",86,0.00046713996273744,6.17808582863994e-05,7.56124106550779
"17438","pretender",99,0.000537754143151239,7.51388816996749e-05,7.15680258991086
"22200","tories",58,0.000315047881846181,4.50833290198049e-05,6.9881237409904
"23812","whigs",90,0.000488867402864763,7.09644993830263e-05,6.88890088868425
"11570","insurance",101,0.000548617863214901,8.01481404796532e-05,6.84504793163823
"17820","provd",61,0.000331343461941673,4.92577113364535e-05,6.72673278866815
"17439","pretenders",43,0.00023356998136872,3.50648114598483e-05,6.66109331961401
"23825","whistons",40,0.000217274401273228,3.2977620301524e-05,6.58854093432531
"22431","triennial",39,0.000211842541241397,3.25601820698591e-05,6.50618417264624
"6996","dunkirk",31,0.000168387660986752,2.67160468265511e-05,6.30286591725104
"15606","offerd",230,0.00124932780732106,0.000204962171747447,6.09540676052397
"7962","examiner",37,0.000200978821177736,3.42299349965186e-05,5.87143449726612
"20219","sherlock",39,0.000211842541241397,3.63171261548429e-05,5.8331306375449
"15818","ormond",31,0.000168387660986752,2.92206762165402e-05,5.76262026720095
"10220","harley",35,0.000190115101114075,3.42299349965186e-05,5.55405965957606
"2393","births",40,0.000217274401273228,3.92391937764969e-05,5.5371780192734
"20994","steele",31,0.000168387660986752,3.17253056065294e-05,5.30767656189562
"3535","cathedralchurch",53,0.000287888581687027,5.42669701164319e-05,5.30504247923463
"634","allies",43,0.00023356998136872,4.42484525564752e-05,5.27860225327902
"5052","convocation",93,0.000505162982960255,9.93502991362368e-05,5.0846649416479
"8096","exon",37,0.000200978821177736,3.96566320081618e-05,5.06797503974549
"7099","easie",42,0.000228138121336889,4.55007672514698e-05,5.01394009635123
"17750","proposd",36,0.000195546961145905,3.92391937764969e-05,4.98346021734606
"20680","southsea",103,0.000559481583278562,0.000113543199012842,4.92747771898943
"18708","rental",32,0.000173819521018582,3.63171261548429e-05,4.78615847183172
"23792","whig",79,0.000429116942514625,9.10015345029396e-05,4.71549128109223
"6011","deliverd",53,0.000287888581687027,6.34506112130588e-05,4.53720738355593
"22024","throne",49,0.000266161141559704,5.88587906647453e-05,4.52202871573994
"17281","preachd",849,0.00461164916702426,0.0010323247469072,4.46724655283191
"22654","tyburn",59,0.000320479741878011,7.1799375846356e-05,4.46354495565265
"4766","confessions",52,0.000282456721655196,6.51203641397182e-05,4.33745611509749
"137","accession",41,0.000222706261305059,5.13449024947778e-05,4.33745611509749
"13820","marriages",39,0.000211842541241397,4.88402731047887e-05,4.33745611509749
"3785","charityschools",37,0.000200978821177736,4.67530819464644e-05,4.29872882835555
"14570","moderation",33,0.000179251381050413,4.17438231664861e-05,4.29408155394652
"18080","queens",132,0.000717005524201652,0.000167810169129274,4.27271796412589
"14777","motions",36,0.000195546961145905,4.59182054831347e-05,4.25859327664117
"4575","commonprayer",43,0.00023356998136872,5.51018465797616e-05,4.2388775670271
"21280","succession",71,0.00038566206225998,9.51759168195882e-05,4.05209716015687
"13591","majesties",349,0.00189571915110891,0.000485480663426233,3.90482936587023
"15483","obedience",65,0.000353070902068995,9.22538491979342e-05,3.82716716038014
"14424","ministry",124,0.000673550643947007,0.000176576371994236,3.81450041327723
"13625","malefactors",43,0.00023356998136872,6.13634200547345e-05,3.80633903977943
"5860","deceasd",126,0.000684414364010668,0.000182420507237544,3.75184991191499
"4881","considerd",175,0.000950575505570373,0.000256724512473889,3.70270643971737
"9209","gardening",34,0.000184683241082244,5.00925877997833e-05,3.68683769783287
"13857","martyr",35,0.000190115101114075,5.25972171897724e-05,3.61454676258124
"13300","loyalty",58,0.000315047881846181,8.76620286496207e-05,3.59389220965221
"3546","catholick",54,0.000293320441718858,8.18178934063127e-05,3.58504025839691
"11487","inscribd",36,0.000195546961145905,5.55192848114265e-05,3.52214481526714
"24295","zeal",30,0.000162955800954921,4.63356437147995e-05,3.51685630953851
"18322","reasons",570,0.0030961602181435,0.00088371673643451,3.50356634710284
"15550","occasiond",97,0.000526890423087578,0.000150695201631015,3.49639814264092
"14581","modest",69,0.000374798342196318,0.000107699063769534,3.48005199932241
"13753","margarets",40,0.000217274401273228,6.26157347497291e-05,3.46996489207799
