"","token","count","frequency","general_frequency","relative_frequency"
"20410","southsea",215,0.00127959433883658,0.000113543199012842,11.2696696055909
"12359","lamented",115,0.000684434181238171,0.000171149674982593,3.99903874376497
"15121","newgate",102,0.000607063360750378,0.000176158933762571,3.44611168893985
"7968","exact",118,0.000702288985966123,0.000230008465647338,3.05331798979483
"4919","considerd",131,0.000779659806453917,0.000256724512473889,3.03695116193166
"7420","elegy",150,0.000892740236397615,0.000308486853200332,2.89393284393182
"6475","directors",109,0.000648724571782267,0.000229591027415673,2.8255658728673
"12578","learned",136,0.000809417814333837,0.00029888577387204,2.70811756561009
"9292","gent",129,0.000767756603301949,0.0002851103122271,2.69284052654821
"19398","scheme",116,0.000690385782814155,0.00027049997411883,2.55225822132933
"5909","debts",118,0.000702288985966123,0.000282605682837111,2.48504905816389
"22256","twenty",167,0.000993917463189344,0.000408254590568234,2.43455306113264
"7141","dying",143,0.000851079025365726,0.000352735305756807,2.41279795777659
"1813","bank",101,0.000601111759174394,0.000254637321315565,2.3606585086145
"1764","ballad",116,0.000690385782814155,0.000300138088567035,2.30022715913965
"23649","words",149,0.00088678863482163,0.000387382678984991,2.28917988059035
"11431","instant",159,0.000946304650581471,0.000421612613981509,2.24448846927282
"13680","margaret",115,0.000684434181238171,0.000311408920821986,2.19786311654643
"4669","compleat",179,0.00106533668210115,0.00049382942805953,2.15729687533472
"4797","confession",110,0.000654676173358251,0.000303477594420354,2.15724714244124
"18554","repairing",140,0.000833224220637774,0.000390722184838309,2.13252344752982
"17191","preachd",369,0.00219614098153813,0.0010323247469072,2.12737415054485
"17772","publick",259,0.00154146480817988,0.00073343897303516,2.10169470787856
"18195","reasons",307,0.00182714168382712,0.00088371673643451,2.06756487514201
"10865","humbly",284,0.00169025484757948,0.000837798530951375,2.01749559725306
"18666","respondent",305,0.00181523848067515,0.000923373368442672,1.96587701434
"23438","wife",321,0.0019104641058909,0.000984736788497406,1.94007589460128
"15476","occasions",148,0.000880837033245646,0.000455007672514698,1.93587292358722
"16873","poem",346,0.0020592541452905,0.00109368816696193,1.88285309057583
"7858","estate",253,0.00150575519872398,0.00080816041650317,1.86318850561777
"1101","appellant",368,0.00219018937996215,0.00117717581329491,1.86054568504243
"1102","appellants",551,0.00327933246836724,0.0017640939670157,1.85893298751815
"23433","widow",127,0.00075585340014998,0.000408672028799898,1.84953543889365
"9063","funeral",115,0.000684434181238171,0.00037360721734005,1.83196188261859
"7444","elizabeth",169,0.00100582066634131,0.000550183589334286,1.82815461209656
"18458","relation",121,0.000720143790694076,0.000394061690691628,1.82748997861257
"18667","respondents",574,0.00341621930461487,0.00191979842742669,1.7794677065102
