"","token","count","frequency","general_frequency","relative_frequency"
"16301","southsea",220,0.0013093523467165,0.000128570975352777,10.183887484122
"1821","bibliotheca",109,0.000648724571782267,0.000186177451322528,3.48444221990362
"12158","newgat",104,0.000618966563902346,0.000189934395407512,3.25884399491903
"3935","considerd",131,0.000779659806453917,0.000256724512473889,3.03695116193166
"6302","exact",130,0.000773708204877933,0.000277178985825467,2.79136675016596
"5123","director",126,0.000749901798573996,0.00027049997411883,2.77228048178876
"7359","gent",130,0.000773708204877933,0.000289284694543748,2.67455630896133
"5872","elegi",156,0.000928449845853519,0.000361501508621769,2.56831527313192
"15472","scheme",125,0.000743950196998012,0.000295963706250386,2.51365346928258
"17832","twenti",167,0.000993917463189344,0.000409089467031563,2.42958458549767
"9885","lament",160,0.000952256252157456,0.000394479128923293,2.41395851475484
"1380","ballad",129,0.000767756603301949,0.000326436697161921,2.35193104812331
"5059","die",184,0.00109509468998107,0.000470452887086298,2.32774571065645
"15429","saviour",122,0.00072609539227006,0.000322262314845272,2.25311914804149
"9124","instant",160,0.000952256252157456,0.000424117243371498,2.2452665319324
"3753","compleat",198,0.00117841711204485,0.000541417386469324,2.17654094880386
"3847","confess",134,0.000797514611181869,0.000374024655571715,2.13225144198804
"13842","preachd",369,0.00219614098153813,0.0010323247469072,2.12737415054485
"10977","margaret",132,0.000785611408029901,0.000374024655571715,2.10042679360016
"14231","publick",261,0.00155336801133185,0.000756815514008392,2.05250550838289
"10068","learn",164,0.000976062658461392,0.000483810910499573,2.01744656285971
"4704","debt",146,0.000868933830093678,0.00044999841373472,1.93097087361274
"18838","wife",324,0.00192831891061885,0.00100185175599567,1.92475473449905
"14817","repair",152,0.000904643439549583,0.000472540078244622,1.91442690514236
"7542","god",115,0.000684434181238171,0.000361084070390104,1.89549813288282
"14571","reason",417,0.00248181785718537,0.00133914184718087,1.85328974851322
"859","appel",922,0.00548737665305734,0.00297090789475881,1.84703694878525
"14886","respond",883,0.00525526419159396,0.00285360775166099,1.84162108073019
"14322","quaker",122,0.00072609539227006,0.000396566320081618,1.83095577082951
"1420","bank",107,0.000636821368630298,0.000349813238135153,1.82046103236453
"7164","funer",116,0.000690385782814155,0.000380286229046688,1.81543724195544
"5899","elizabeth",170,0.0010117722679173,0.000560202106894243,1.80608436752685
"8707","humbl",433,0.00257704348240111,0.00145978149613202,1.76536248009
"6163","error",115,0.000684434181238171,0.000390304746606645,1.7535891817579
"19013","word",186,0.00110699789313304,0.000636593303288912,1.73894052515762
"17110","tempor",102,0.000607063360750378,0.000349395799903488,1.73746610840217
"1513","bart",108,0.000642772970206283,0.000370685149718396,1.73401327432347
